N_CARGOS_TOTAL,N_CARGOS_SIGNIFICATIVOS,N_CAMBIOS_CARGO,N_CAMBIOS_UNIDAD,DURACION_MEDIA_CARGO_ANIOS,DURACION_MEDIANA_CARGO_ANIOS,DURACION_MAX_CARGO_ANIOS,N_UNIDADES_TOTAL,N_UNIDADES_SIGNIFICATIVAS,PROPORCION_CARGOS_SIGNIFICATIVOS,IDPERSONA
1,1,0,0,3.5,3.5,3.5,1,1,1.0,888
7,7,5,2,6.7,5.88,17.99,2,2,1.0,891
3,2,2,1,12.75,5.75,32.25,2,2,0.667,893
6,5,3,1,4.46,1.18,21.94,2,2,0.833,898
3,2,2,2,10.5,5.92,25.51,2,1,0.667,903
6,5,3,1,6.36,1.33,30.16,2,2,0.833,912
2,2,1,1,19.83,19.83,29.16,2,2,1.0,913
1,1,0,0,15.42,15.42,15.42,1,1,1.0,918
4,4,3,1,9.38,5.71,24.99,2,2,1.0,919
6,3,4,2,6.29,0.54,27.64,2,2,0.5,921
5,2,3,2,5.71,0.12,14.38,2,2,0.4,923
5,5,1,2,1.45,0.81,4.79,3,3,1.0,926
11,10,5,2,2.28,0.39,13.7,3,3,0.909,931
4,4,3,1,8.21,3.17,25.64,2,2,1.0,938
2,1,1,1,16.74,16.74,33.23,2,1,0.5,939
2,2,1,1,14.55,14.55,15.61,2,2,1.0,944
15,9,8,4,2.55,0.5,13.57,3,2,0.6,946
1,1,0,0,9.58,9.58,9.58,1,1,1.0,951
5,5,4,1,5.9,5.0,12.08,2,2,1.0,953
6,6,1,1,4.66,0.58,23.9,2,2,1.0,954
10,4,5,4,1.78,0.08,14.52,3,2,0.4,955
6,5,4,3,1.61,0.8,4.16,3,3,0.833,958
10,10,1,1,2.95,0.41,17.33,2,2,1.0,964
14,11,7,3,3.02,0.36,19.05,3,2,0.786,969
2,2,1,1,13.02,13.02,22.25,2,2,1.0,972
8,7,4,1,3.28,0.89,14.75,2,2,0.875,973
6,5,5,1,6.55,7.22,12.17,2,2,0.833,975
1,1,0,0,10.41,10.41,10.41,1,1,1.0,977
2,2,1,0,18.89,18.89,34.63,1,1,1.0,978
11,10,3,1,2.04,0.65,8.39,2,2,0.909,981
5,5,1,1,4.32,1.0,11.54,2,2,1.0,986
13,9,2,1,1.68,0.59,15.45,2,2,0.692,988
5,4,4,1,5.49,3.08,17.7,2,2,0.8,990
5,5,2,2,4.98,3.41,16.7,3,3,1.0,999
3,3,2,1,12.59,7.16,26.46,2,2,1.0,1000
11,7,8,2,2.14,0.5,19.36,2,2,0.636,1001
3,2,2,1,7.99,2.99,20.96,2,2,0.667,1003
4,4,3,1,6.13,3.75,16.7,2,2,1.0,1006
2,1,1,1,6.89,6.89,13.7,2,1,0.5,1010
3,3,2,1,10.88,6.21,21.67,2,2,1.0,1013
2,2,1,1,4.41,4.41,7.58,2,2,1.0,1032
2,2,1,1,17.12,17.12,25.58,2,2,1.0,1033
3,3,2,1,3.61,1.0,8.83,2,2,1.0,1035
4,2,3,2,4.77,3.64,11.74,2,2,0.5,1038
6,6,2,1,3.47,3.94,5.96,2,2,1.0,1041
12,11,8,6,1.92,1.19,5.82,4,4,0.917,1043
10,9,9,1,3.23,1.13,10.92,2,2,0.9,1045
1,1,0,0,13.7,13.7,13.7,1,1,1.0,1052
8,7,7,3,3.44,1.21,11.87,2,2,0.875,1058
4,4,3,0,4.93,1.35,16.05,1,1,1.0,1060
4,4,3,1,9.58,9.4,15.16,2,2,1.0,1061
17,15,14,2,1.78,0.39,10.37,3,3,0.882,1063
2,2,1,1,7.64,7.64,13.7,2,2,1.0,1075
10,5,9,1,3.24,0.31,15.87,2,2,0.5,1086
2,1,1,0,0.3,0.3,0.35,1,1,0.5,1094
13,9,8,3,2.46,0.43,9.34,2,2,0.692,1097
10,7,7,5,1.51,0.62,9.41,3,3,0.7,1098
17,14,5,3,1.55,0.64,7.87,2,2,0.824,1101
2,2,1,1,17.95,17.95,24.67,2,2,1.0,1102
5,5,1,1,6.46,1.0,28.25,2,2,1.0,1105
5,5,2,1,6.14,3.98,17.15,2,2,1.0,1108
1,1,0,0,1.0,1.0,1.0,1,1,1.0,1113
3,3,1,1,9.44,3.13,22.74,2,2,1.0,1114
2,2,1,1,17.08,17.08,26.91,2,2,1.0,1116
1,1,0,0,13.7,13.7,13.7,1,1,1.0,1119
1,1,0,0,34.11,34.11,34.11,1,1,1.0,1120
6,6,5,1,6.87,3.62,21.74,2,2,1.0,1123
1,1,0,0,33.37,33.37,33.37,1,1,1.0,1134
7,7,3,3,3.42,0.49,15.97,2,2,1.0,1135
3,3,2,1,12.87,16.7,17.41,2,2,1.0,1140
6,6,4,3,2.21,1.4,4.97,3,3,1.0,1142
2,2,1,1,16.87,16.87,27.0,2,2,1.0,1143
4,4,3,1,0.48,0.41,0.75,2,2,1.0,1145
5,4,4,3,3.9,0.71,13.7,3,3,0.8,1153
2,2,1,1,12.98,12.98,21.9,2,2,1.0,1154
1,1,0,0,24.93,24.93,24.93,1,1,1.0,1160
