N_CARGOS_TOTAL,N_CARGOS_SIGNIFICATIVOS,N_CAMBIOS_CARGO,N_CAMBIOS_UNIDAD,DURACION_MEDIA_CARGO_ANIOS,DURACION_MEDIANA_CARGO_ANIOS,DURACION_MAX_CARGO_ANIOS,N_UNIDADES_TOTAL,N_UNIDADES_SIGNIFICATIVAS,PROPORCION_CARGOS_SIGNIFICATIVOS,IDPERSONA
5,4,3,1,6.21,2.86,16.47,2,2,0.8,3313
1,1,0,0,10.0,10.0,10.0,1,1,1.0,3318
2,2,0,1,19.09,19.09,35.75,2,2,1.0,3322
1,1,0,0,4.19,4.19,4.19,1,1,1.0,3324
1,1,0,0,25.3,25.3,25.3,1,1,1.0,3325
16,9,9,7,1.65,0.27,21.06,3,3,0.562,3326
4,4,3,1,6.37,6.39,11.87,2,2,1.0,3333
27,11,11,5,0.83,0.08,6.79,3,2,0.407,3342
3,3,2,1,0.4,0.4,0.45,2,2,1.0,3380
3,3,2,1,5.71,5.0,11.71,2,2,1.0,3403
11,10,4,1,2.49,0.38,14.2,2,2,0.909,3454
7,4,6,1,2.13,0.54,7.61,2,2,0.571,3455
3,3,2,1,9.71,10.25,17.38,2,2,1.0,3461
1,1,0,0,7.08,7.08,7.08,1,1,1.0,3462
1,1,0,0,7.49,7.49,7.49,1,1,1.0,3464
10,4,4,3,3.32,0.11,22.74,2,2,0.4,3465
9,9,8,1,4.31,2.67,13.7,2,2,1.0,3466
7,5,5,2,5.58,3.0,22.1,2,2,0.714,3467
10,6,5,2,1.96,0.4,7.65,2,2,0.6,3471
2,2,0,1,17.85,17.85,33.54,2,2,1.0,3488
3,3,2,1,12.61,12.71,22.03,2,2,1.0,3489
4,4,3,1,4.28,2.73,11.29,2,2,1.0,3491
11,9,7,2,2.51,0.5,15.29,2,2,0.818,3492
1,1,0,0,28.32,28.32,28.32,1,1,1.0,3496
2,2,1,1,15.18,15.18,29.19,2,2,1.0,3497
1,1,0,0,2.87,2.87,2.87,1,1,1.0,3503
7,7,6,4,5.29,3.45,15.29,4,4,1.0,3519
3,2,2,2,4.85,0.75,13.7,2,2,0.667,3541
6,4,5,0,5.57,0.69,30.24,1,1,0.667,3565
7,6,4,0,3.87,1.58,11.78,1,1,0.857,3571
3,3,1,1,5.15,1.37,13.7,2,2,1.0,3578
3,2,1,1,0.32,0.36,0.39,2,2,0.667,3592
18,12,15,0,1.85,0.75,10.83,1,1,0.667,3593
3,3,2,0,2.18,2.18,3.7,1,1,1.0,3596
9,9,8,2,4.47,3.03,11.87,2,2,1.0,3600
8,7,7,1,4.54,1.27,21.91,2,2,0.875,3612
6,5,4,1,5.58,4.93,15.43,2,2,0.833,3619
6,5,1,1,2.55,0.69,10.87,2,2,0.833,3634
4,3,2,1,2.95,1.19,9.27,2,2,0.75,3651
1,1,0,0,8.96,8.96,8.96,1,1,1.0,3659
1,1,0,0,0.91,0.91,0.91,1,1,1.0,3678
8,5,5,2,5.3,0.84,28.58,2,2,0.625,3680
6,6,5,0,3.71,1.92,8.77,1,1,1.0,3683
9,9,8,2,4.9,1.16,23.92,3,3,1.0,3685
1,1,0,0,9.66,9.66,9.66,1,1,1.0,3690
1,1,0,0,20.12,20.12,20.12,1,1,1.0,3724
8,7,5,4,2.71,0.56,17.48,2,2,0.875,3725
5,3,4,2,3.44,1.5,13.7,2,2,0.6,3727
4,3,2,2,6.02,1.79,20.34,3,3,0.75,3728
4,4,2,1,1.99,1.91,3.8,2,2,1.0,3729
1,1,0,0,26.79,26.79,26.79,1,1,1.0,3730
2,2,1,1,12.27,12.27,12.83,2,2,1.0,3731
8,7,4,3,1.8,0.79,8.83,2,2,0.875,3732
2,1,1,1,13.48,13.48,26.79,2,1,0.5,3733
7,6,6,3,3.99,2.67,8.21,2,2,0.857,3734
2,2,1,0,10.06,10.06,11.71,1,1,1.0,3735
1,1,0,0,37.21,37.21,37.21,1,1,1.0,3737
12,9,5,2,1.72,0.67,9.41,3,3,0.75,3738
11,5,7,4,1.66,0.1,11.87,3,3,0.455,3740
1,1,0,0,1.36,1.36,1.36,1,1,1.0,3758
4,3,2,1,4.04,3.1,9.77,2,2,0.75,3760
9,7,6,1,1.42,0.36,4.39,2,2,0.778,3765
2,2,0,1,4.04,4.04,7.0,2,2,1.0,3771
5,5,4,1,3.63,0.81,14.97,2,2,1.0,3773
2,2,1,0,4.66,4.66,8.12,1,1,1.0,3774
16,8,12,6,1.59,0.24,8.9,4,4,0.5,3775
2,2,1,1,10.88,10.88,17.7,2,2,1.0,3776
3,3,1,1,6.83,2.8,17.33,2,2,1.0,3777
4,3,2,2,3.57,0.68,12.71,2,2,0.75,3783
1,1,0,0,13.34,13.34,13.34,1,1,1.0,3788
6,5,4,1,2.23,1.5,6.75,2,2,0.833,3792
3,2,2,1,3.47,1.63,8.77,2,2,0.667,3796
15,14,10,7,1.77,1.39,7.42,4,4,0.933,3800
4,3,3,2,3.54,0.98,11.96,2,2,0.75,3801
3,2,1,1,4.1,4.36,7.71,2,1,0.667,3802
4,3,2,2,4.03,0.87,14.34,3,2,0.75,3807
3,3,2,1,5.82,6.0,8.96,2,2,1.0,3808
3,3,1,2,1.53,0.99,2.99,3,3,1.0,3810
4,4,2,1,3.43,3.67,6.0,2,2,1.0,3811
3,3,2,2,6.81,9.21,10.71,3,3,1.0,3814
2,2,1,1,9.98,9.98,17.79,2,2,1.0,3818
3,3,2,1,2.62,2.46,4.41,2,2,1.0,3820
4,4,3,1,2.07,1.95,3.38,2,2,1.0,3821
7,6,5,2,3.5,1.0,13.96,2,2,0.857,3829
2,2,0,1,11.19,11.19,19.08,2,2,1.0,3850
1,1,0,0,25.15,25.15,25.15,1,1,1.0,3852
1,1,0,0,26.55,26.55,26.55,1,1,1.0,3853
1,1,0,0,9.58,9.58,9.58,1,1,1.0,3856
2,2,1,1,13.37,13.37,14.5,2,2,1.0,3858
2,2,1,0,13.34,13.34,24.97,1,1,1.0,3859
1,1,0,0,20.29,20.29,20.29,1,1,1.0,3862
1,1,0,0,32.87,32.87,32.87,1,1,1.0,3863
2,2,0,1,13.52,13.52,26.54,2,2,1.0,3864
1,1,0,0,8.3,8.3,8.3,1,1,1.0,3865
2,2,1,1,13.64,13.64,14.58,2,2,1.0,3866
2,2,1,1,14.14,14.14,15.58,2,2,1.0,3867
7,6,5,1,4.02,2.13,11.91,2,2,0.857,3869
1,1,0,0,29.37,29.37,29.37,1,1,1.0,3870
1,1,0,0,22.46,22.46,22.46,1,1,1.0,3871
1,1,0,0,20.72,20.72,20.72,1,1,1.0,3872
4,4,3,1,8.66,7.34,18.24,2,2,1.0,3874
2,2,1,1,5.41,5.41,9.83,2,2,1.0,3875
2,2,1,1,12.73,12.73,12.75,2,2,1.0,3877
1,1,0,0,30.91,30.91,30.91,1,1,1.0,3878
1,1,0,0,30.26,30.26,30.26,1,1,1.0,3879
3,3,2,1,9.22,12.71,14.65,2,2,1.0,3880
2,1,0,1,13.36,13.36,26.67,2,1,0.5,3881
2,2,1,1,13.52,13.52,14.33,2,2,1.0,3882
1,1,0,0,26.54,26.54,26.54,1,1,1.0,3883
6,4,4,1,4.6,1.35,13.67,2,2,0.667,3884
1,1,0,0,28.46,28.46,28.46,1,1,1.0,3886
3,3,2,1,7.48,9.16,12.71,2,2,1.0,3887
1,1,0,0,26.54,26.54,26.54,1,1,1.0,3889
2,2,1,1,14.83,14.83,16.96,2,2,1.0,3890
2,2,1,1,13.6,13.6,14.5,2,2,1.0,3892
3,3,2,1,8.85,3.71,21.3,2,2,1.0,3893
1,1,0,0,22.45,22.45,22.45,1,1,1.0,3895
4,3,3,1,5.28,4.35,12.33,2,2,0.75,3896
1,1,0,0,21.12,21.12,21.12,1,1,1.0,3897
1,1,0,0,28.45,28.45,28.45,1,1,1.0,3898
2,2,1,1,5.33,5.33,9.66,2,2,1.0,3901
1,1,0,0,27.79,27.79,27.79,1,1,1.0,3902
1,1,0,0,25.7,25.7,25.7,1,1,1.0,3905
1,1,0,0,21.91,21.91,21.91,1,1,1.0,3909
1,1,0,0,25.63,25.63,25.63,1,1,1.0,3910
2,2,1,1,4.91,4.91,8.83,2,2,1.0,3911
2,2,1,1,4.41,4.41,7.83,2,2,1.0,3912
2,2,1,1,12.76,12.76,14.08,2,2,1.0,3913
1,1,0,0,25.48,25.48,25.48,1,1,1.0,3914
2,2,1,1,13.64,13.64,14.57,2,2,1.0,3915
1,1,0,0,22.45,22.45,22.45,1,1,1.0,3916
3,3,2,1,9.05,12.08,14.06,2,2,1.0,3917
1,1,0,0,27.21,27.21,27.21,1,1,1.0,3918
3,3,2,1,9.09,11.71,14.56,2,2,1.0,3919
2,2,1,1,14.14,14.14,15.58,2,2,1.0,3920
3,3,2,1,8.85,12.71,12.83,2,2,1.0,3921
3,3,2,1,8.18,10.84,12.71,2,2,1.0,3922
2,2,1,1,11.23,11.23,12.71,2,2,1.0,3925
1,1,0,0,28.62,28.62,28.62,1,1,1.0,3926
1,1,0,0,26.54,26.54,26.54,1,1,1.0,3927
1,1,0,0,26.54,26.54,26.54,1,1,1.0,3928
2,2,1,1,13.39,13.39,14.08,2,2,1.0,3929
4,3,2,1,6.3,1.72,21.75,2,2,0.75,3930
1,1,0,0,26.79,26.79,26.79,1,1,1.0,3931
2,2,1,1,13.64,13.64,14.58,2,2,1.0,3932
1,1,0,0,26.52,26.52,26.52,1,1,1.0,3933
2,2,1,1,13.89,13.89,15.07,2,2,1.0,3934
3,3,1,1,8.5,11.79,12.71,2,2,1.0,3935
1,1,0,0,26.29,26.29,26.29,1,1,1.0,3937
2,2,1,1,12.74,12.74,18.06,2,2,1.0,3938
2,2,1,1,13.38,13.38,25.04,2,2,1.0,3939
2,2,1,1,10.18,10.18,19.21,2,2,1.0,3941
1,1,0,0,22.45,22.45,22.45,1,1,1.0,3942
1,1,0,0,20.96,20.96,20.96,1,1,1.0,3943
1,1,0,0,20.04,20.04,20.04,1,1,1.0,3944
4,3,3,1,6.8,6.57,14.06,2,2,0.75,3945
2,2,1,1,2.62,2.62,3.91,2,2,1.0,3962
3,3,2,0,3.05,1.72,5.78,1,1,1.0,3973
2,2,1,0,5.45,5.45,6.46,1,1,1.0,3987
3,3,2,1,4.98,2.74,10.21,2,2,1.0,3990
5,5,2,1,1.98,1.25,5.12,2,2,1.0,4001
3,3,2,1,3.43,1.33,7.96,2,2,1.0,4024
8,3,2,1,1.59,0.22,6.83,2,2,0.375,4029
2,2,1,1,3.04,3.04,4.08,2,2,1.0,4036
1,0,0,0,0.08,0.08,0.08,1,0,0.0,4062
1,1,0,0,6.0,6.0,6.0,1,1,1.0,4067
10,9,5,6,1.18,0.39,7.35,6,6,0.9,4075
5,4,3,1,2.48,0.39,10.12,2,2,0.8,4082
1,1,0,0,0.57,0.57,0.57,1,1,1.0,4100
1,1,0,0,7.79,7.79,7.79,1,1,1.0,4103
1,1,0,0,1.12,1.12,1.12,1,1,1.0,4107
1,1,0,0,12.21,12.21,12.21,1,1,1.0,4109
8,6,2,1,1.32,0.51,6.96,2,2,0.75,4135
6,5,2,1,2.26,1.44,8.07,2,2,0.833,4145
2,2,1,1,7.58,7.58,8.91,2,2,1.0,4163
2,2,0,0,3.88,3.88,4.81,1,1,1.0,4199
3,3,2,0,2.28,1.75,4.74,1,1,1.0,4231
1,1,0,0,9.96,9.96,9.96,1,1,1.0,4233
6,5,4,2,2.96,1.83,10.12,2,2,0.833,4242
4,4,3,1,1.29,1.51,1.79,2,2,1.0,4267
3,0,1,2,0.14,0.11,0.22,3,0,0.0,4273
4,3,2,1,1.57,1.22,3.72,2,2,0.75,4279
2,2,1,1,2.43,2.43,4.19,2,2,1.0,4294
2,2,1,0,4.48,4.48,6.46,1,1,1.0,4296
4,4,2,1,3.7,2.76,8.66,2,2,1.0,4300
3,3,1,1,4.94,2.41,11.71,2,2,1.0,4329
2,2,1,0,1.83,1.83,2.67,1,1,1.0,4330
3,3,2,1,2.39,2.21,3.18,2,2,1.0,4337
6,6,3,2,1.03,0.62,2.38,2,2,1.0,4342
3,3,2,0,1.73,1.03,3.81,1,1,1.0,4343
2,2,1,1,9.06,9.06,11.71,2,2,1.0,4353
1,1,0,0,9.68,9.68,9.68,1,1,1.0,4383
1,1,0,0,9.67,9.67,9.67,1,1,1.0,4395
3,3,2,1,5.13,6.01,8.38,2,2,1.0,4401
3,3,1,1,6.48,4.0,11.71,2,2,1.0,4444
3,3,2,2,1.79,1.49,2.87,3,3,1.0,4466
1,1,0,0,0.28,0.28,0.28,1,1,1.0,4488
5,5,4,1,2.19,1.74,3.34,2,2,1.0,4490
2,2,1,0,2.71,2.71,3.91,1,1,1.0,4512
1,1,0,0,10.96,10.96,10.96,1,1,1.0,4527
1,1,0,0,9.93,9.93,9.93,1,1,1.0,4560
2,2,1,1,8.93,8.93,11.71,2,2,1.0,4584
2,0,0,1,0.1,0.1,0.11,2,0,0.0,4627
2,2,0,1,2.9,2.9,3.34,2,2,1.0,4635
1,1,0,0,3.3,3.3,3.3,1,1,1.0,4667
1,1,0,0,8.77,8.77,8.77,1,1,1.0,4675
2,2,1,1,6.21,6.21,11.96,2,2,1.0,4707
2,1,1,1,5.07,5.07,9.96,2,1,0.5,4714
1,1,0,0,11.91,11.91,11.91,1,1,1.0,4718
4,4,3,3,6.02,6.09,11.0,3,3,1.0,4736
2,1,1,1,2.47,2.47,4.92,2,1,0.5,4776
1,1,0,0,14.45,14.45,14.45,1,1,1.0,4819
1,1,0,0,2.42,2.42,2.42,1,1,1.0,4829
2,2,1,1,6.56,6.56,11.29,2,2,1.0,4830
3,3,2,1,3.18,3.29,4.74,2,2,1.0,4835
3,1,1,2,1.82,0.02,5.42,3,1,0.333,4860
3,3,2,1,5.65,3.75,11.71,2,2,1.0,4871
1,1,0,0,4.48,4.48,4.48,1,1,1.0,4894
3,3,2,1,3.12,0.5,8.4,2,2,1.0,4901
5,5,4,1,2.06,1.38,5.36,2,2,1.0,4924
2,2,1,1,6.57,6.57,12.59,2,2,1.0,4971
8,6,5,1,0.78,0.39,2.66,2,2,0.75,5027
3,3,1,1,3.88,2.0,9.34,2,2,1.0,5087
4,3,2,1,0.63,0.38,1.53,2,2,0.75,5185
1,1,0,0,5.74,5.74,5.74,1,1,1.0,5258
5,5,2,4,0.57,0.43,1.16,3,3,1.0,5280
5,4,2,2,3.5,0.36,11.96,2,2,0.8,5290
3,3,1,1,3.45,4.59,5.39,2,2,1.0,5307
5,5,1,1,1.43,0.38,5.39,2,2,1.0,5323
6,5,5,2,3.12,1.0,14.42,2,2,0.833,5325
8,7,3,3,2.37,0.73,12.62,3,3,0.875,5336
17,8,9,11,1.15,0.12,10.33,7,3,0.471,5337
4,4,2,1,4.01,2.87,9.92,2,2,1.0,5339
3,3,2,1,4.97,2.99,11.54,2,2,1.0,5356
4,4,1,1,4.74,2.81,12.35,2,2,1.0,5361
2,1,1,1,8.72,8.72,17.33,2,1,0.5,5371
6,3,2,2,3.37,0.24,19.34,2,2,0.5,5388
4,3,3,1,3.32,1.38,10.35,2,2,0.75,5417
3,3,2,1,6.65,1.0,17.96,2,2,1.0,5422
9,8,4,1,1.24,0.38,6.83,2,2,0.889,5436
4,4,1,0,2.68,2.33,5.5,1,1,1.0,5460
5,5,3,1,3.79,1.0,11.71,2,2,1.0,5559
1,1,0,0,15.16,15.16,15.16,1,1,1.0,5561
3,3,2,1,4.1,2.0,9.7,2,2,1.0,5573
2,2,1,0,1.68,1.68,2.0,1,1,1.0,5583
2,2,1,0,3.5,3.5,6.56,1,1,1.0,5588
1,1,0,0,5.98,5.98,5.98,1,1,1.0,5590
3,3,2,1,3.14,1.0,7.58,2,2,1.0,5601
2,2,1,0,1.73,1.73,2.18,1,1,1.0,5607
1,0,0,0,0.16,0.16,0.16,1,0,0.0,5616
1,1,0,0,10.87,10.87,10.87,1,1,1.0,5625
7,7,5,1,2.29,2.81,4.01,2,2,1.0,5653
2,2,1,1,3.12,3.12,6.0,2,2,1.0,5821
2,1,1,0,3.94,3.94,7.63,1,1,0.5,5831
2,2,1,0,8.95,8.95,16.19,1,1,1.0,5874
2,2,1,0,15.24,15.24,24.99,1,1,1.0,6022
3,3,2,1,4.45,2.63,10.12,2,2,1.0,6056
3,3,2,1,1.23,1.0,1.73,2,2,1.0,6120
1,1,0,0,0.96,0.96,0.96,1,1,1.0,6127
2,2,1,1,6.19,6.19,8.38,2,2,1.0,6160
1,1,0,0,0.7,0.7,0.7,1,1,1.0,6163
1,1,0,0,12.35,12.35,12.35,1,1,1.0,6241
6,6,5,1,2.08,1.5,5.5,2,2,1.0,6811
9,7,8,3,2.23,1.36,7.67,2,2,0.778,6847
2,2,0,1,9.45,9.45,11.07,2,2,1.0,6866
4,4,1,3,0.48,0.41,0.75,3,3,1.0,6870
2,1,1,1,4.05,4.05,8.0,2,1,0.5,6939
13,10,8,1,1.95,1.21,9.0,2,2,0.769,6992
3,3,0,1,7.03,3.84,16.25,2,2,1.0,7090
1,1,0,0,8.04,8.04,8.04,1,1,1.0,7197
1,1,0,0,2.27,2.27,2.27,1,1,1.0,7232
1,1,0,0,0.43,0.43,0.43,1,1,1.0,7265
6,6,4,1,3.07,1.0,13.7,2,2,1.0,7281
9,9,8,1,3.99,1.16,11.07,2,2,1.0,7308
4,3,2,1,2.01,1.31,5.39,2,2,0.75,7351
7,5,5,2,4.11,1.49,13.7,2,2,0.714,7374
2,2,1,0,2.22,2.22,3.01,1,1,1.0,7389
1,1,0,0,0.28,0.28,0.28,1,1,1.0,7416
2,2,1,1,7.1,7.1,13.7,2,2,1.0,7419
6,4,5,1,5.01,3.16,14.87,2,2,0.667,7443
4,3,1,1,5.8,2.95,17.12,2,2,0.75,7526
7,6,5,1,3.28,1.45,12.71,2,2,0.857,7568
2,2,1,1,5.66,5.66,10.33,2,2,1.0,7651
2,2,0,1,9.23,9.23,17.96,2,2,1.0,7712
7,6,6,1,2.47,1.0,11.67,2,2,0.857,7726
1,1,0,0,10.41,10.41,10.41,1,1,1.0,7730
6,6,3,1,4.42,1.87,17.79,2,2,1.0,7809
1,1,0,0,15.29,15.29,15.29,1,1,1.0,7830
5,5,4,1,3.74,1.0,12.71,2,2,1.0,7837
5,5,3,1,4.22,2.0,12.71,2,2,1.0,7916
2,2,1,1,6.48,6.48,10.71,2,2,1.0,7945
1,1,0,0,8.83,8.83,8.83,1,1,1.0,7965
4,4,2,1,6.55,5.62,12.71,2,2,1.0,7973
1,1,0,0,0.28,0.28,0.28,1,1,1.0,8024
10,4,6,4,1.62,0.13,11.38,2,2,0.4,8120
1,1,0,0,2.12,2.12,2.12,1,1,1.0,8168
2,2,0,1,15.01,15.01,28.62,2,2,1.0,8193
2,2,1,1,9.48,9.48,17.96,2,2,1.0,8244
1,1,0,0,0.28,0.28,0.28,1,1,1.0,8293
1,1,0,0,1.39,1.39,1.39,1,1,1.0,8301
3,3,2,0,3.3,4.34,4.37,1,1,1.0,8327
10,5,6,1,2.24,0.5,15.46,2,2,0.5,8331
1,1,0,0,1.81,1.81,1.81,1,1,1.0,8335
1,1,0,0,0.83,0.83,0.83,1,1,1.0,8403
2,2,0,1,4.07,4.07,6.79,2,2,1.0,8433
1,1,0,0,0.79,0.79,0.79,1,1,1.0,8441
1,1,0,0,6.27,6.27,6.27,1,1,1.0,8442
5,5,4,1,1.49,0.67,3.3,2,2,1.0,8446
1,1,0,0,5.12,5.12,5.12,1,1,1.0,8457
7,6,6,3,3.59,2.43,8.84,4,4,0.857,8497
3,3,2,0,2.19,2.67,3.3,1,1,1.0,8530
7,7,3,1,3.17,1.83,11.71,2,2,1.0,8558
1,1,0,0,17.96,17.96,17.96,1,1,1.0,8577
6,5,4,3,2.79,2.18,6.24,3,3,0.833,8666
1,1,0,0,0.95,0.95,0.95,1,1,1.0,8757
1,0,0,0,0.25,0.25,0.25,1,0,0.0,8762
4,3,3,1,2.5,1.28,7.36,2,1,0.75,8766
2,2,1,0,5.35,5.35,6.71,1,1,1.0,8819
6,3,4,2,2.29,0.14,12.46,2,2,0.5,8884
4,4,2,1,4.68,3.0,11.71,2,2,1.0,8941
2,1,0,0,0.75,0.75,1.26,1,1,0.5,8975
1,0,0,0,0.19,0.19,0.19,1,0,0.0,9029
2,2,0,1,0.57,0.57,0.74,2,2,1.0,9035
1,1,0,0,17.96,17.96,17.96,1,1,1.0,9067
4,4,3,1,5.32,1.37,18.21,2,2,1.0,9189
4,4,3,1,6.2,6.32,11.67,2,2,1.0,9196
3,3,2,1,6.16,1.0,17.12,2,2,1.0,9326
4,4,3,1,5.9,5.31,10.99,2,2,1.0,9457
6,3,3,2,2.0,0.93,6.28,3,2,0.5,9465
2,2,1,1,0.51,0.51,0.75,2,2,1.0,9510
3,3,1,1,6.53,3.42,15.16,2,2,1.0,9640
4,4,1,1,4.36,0.86,15.34,2,2,1.0,9654
5,5,4,1,6.02,3.42,12.71,2,2,1.0,9665
4,4,3,0,1.37,1.08,2.98,1,1,1.0,9693
1,0,0,0,0.24,0.24,0.24,1,0,0.0,9715
1,1,0,0,11.38,11.38,11.38,1,1,1.0,9816
2,1,1,0,5.24,5.24,10.46,1,1,0.5,9834
9,6,7,4,1.63,0.43,7.8,4,3,0.667,9855
1,1,0,0,9.57,9.57,9.57,1,1,1.0,9912
2,2,1,1,8.54,8.54,15.29,2,2,1.0,9936
1,0,0,0,0.2,0.2,0.2,1,0,0.0,10023
2,1,1,0,5.45,5.45,10.75,1,1,0.5,10059
1,1,0,0,1.29,1.29,1.29,1,1,1.0,10072
2,1,1,0,0.23,0.23,0.31,1,1,0.5,10093
7,6,2,2,1.04,0.39,3.71,2,2,0.857,10130
1,1,0,0,5.33,5.33,5.33,1,1,1.0,10133
1,1,0,0,9.96,9.96,9.96,1,1,1.0,10136
4,4,3,1,4.33,3.41,8.71,2,2,1.0,10157
1,1,0,0,5.35,5.35,5.35,1,1,1.0,10191
2,2,1,0,1.15,1.15,1.94,1,1,1.0,10248
2,2,1,0,3.88,3.88,6.41,1,1,1.0,10352
2,2,1,0,1.66,1.66,2.96,1,1,1.0,10441
1,1,0,0,0.31,0.31,0.31,1,1,1.0,10447
3,3,2,1,5.71,5.0,11.71,2,2,1.0,10483
6,5,5,1,2.93,2.0,9.54,2,2,0.833,10493
4,4,3,1,4.34,2.87,10.62,2,2,1.0,10531
2,2,1,1,4.47,4.47,5.0,2,2,1.0,10597
3,3,2,0,4.19,1.71,10.49,1,1,1.0,10605
3,3,2,0,3.79,1.72,8.71,1,1,1.0,10646
1,1,0,0,10.71,10.71,10.71,1,1,1.0,10778
1,1,0,0,4.7,4.7,4.7,1,1,1.0,10864
1,1,0,0,3.98,3.98,3.98,1,1,1.0,10941
6,5,5,3,2.05,1.77,5.0,3,2,0.833,10946
4,4,3,0,1.24,1.11,2.37,1,1,1.0,11053
1,1,0,0,0.97,0.97,0.97,1,1,1.0,11174
1,1,0,0,16.33,16.33,16.33,1,1,1.0,11196
5,5,4,2,1.33,0.67,2.58,3,3,1.0,11234
8,8,6,1,2.76,1.16,10.71,2,2,1.0,11237
1,1,0,0,1.08,1.08,1.08,1,1,1.0,11351
5,5,2,1,4.2,3.75,10.83,2,2,1.0,11493
2,2,1,0,9.06,9.06,16.41,1,1,1.0,11495
12,6,11,1,1.35,0.51,5.33,2,2,0.5,11509
6,6,3,1,3.35,1.0,12.71,2,2,1.0,11522
6,6,3,1,3.52,1.5,12.71,2,2,1.0,11528
1,1,0,0,16.87,16.87,16.87,1,1,1.0,11822
2,2,1,0,3.28,3.28,5.12,1,1,1.0,11851
2,2,1,0,3.41,3.41,5.41,1,1,1.0,11859
7,7,6,1,2.66,1.0,9.41,2,2,1.0,11865
1,0,0,0,0.11,0.11,0.11,1,0,0.0,11880
3,2,2,1,2.27,1.36,5.39,2,2,0.667,11918
2,1,1,1,0.24,0.24,0.25,2,1,0.5,12371
3,3,2,1,4.51,1.91,10.79,2,2,1.0,12394
2,1,1,1,5.44,5.44,10.62,2,1,0.5,12403
3,3,2,1,4.9,2.0,10.87,2,2,1.0,12405
2,2,1,0,5.48,5.48,7.66,1,1,1.0,12411
12,6,7,6,1.1,0.29,5.98,4,3,0.5,12422
3,3,2,1,6.18,4.84,12.71,2,2,1.0,12471
2,2,1,1,8.98,8.98,11.71,2,2,1.0,12487
1,1,0,0,1.69,1.69,1.69,1,1,1.0,12696
2,2,1,1,6.77,6.77,10.54,2,2,1.0,12725
1,1,0,0,0.96,0.96,0.96,1,1,1.0,12781
1,1,0,0,1.16,1.16,1.16,1,1,1.0,12880
2,1,1,1,5.32,5.32,10.62,2,1,0.5,12899
4,4,3,1,3.33,1.62,8.71,2,2,1.0,12900
3,3,2,1,7.85,6.5,11.71,2,2,1.0,13040
2,2,1,0,1.25,1.25,1.51,1,1,1.0,13055
2,2,1,1,8.54,8.54,11.33,2,2,1.0,13170
1,1,0,0,19.65,19.65,19.65,1,1,1.0,13296
1,1,0,0,19.62,19.62,19.62,1,1,1.0,13297
3,3,2,1,6.38,3.71,14.91,2,2,1.0,13298
1,1,0,0,17.63,17.63,17.63,1,1,1.0,13302
1,1,0,0,19.65,19.65,19.65,1,1,1.0,13310
1,1,0,0,19.65,19.65,19.65,1,1,1.0,13317
6,5,3,1,2.39,0.51,11.8,2,2,0.833,13325
2,2,1,0,3.03,3.03,5.33,1,1,1.0,13326
3,1,1,1,4.64,0.08,13.75,2,1,0.333,13351
2,2,1,1,6.14,6.14,10.91,2,2,1.0,13505
16,3,9,5,0.31,0.1,2.67,4,1,0.188,13532
2,2,1,1,4.79,4.79,8.59,2,2,1.0,13566
4,4,3,2,1.09,0.99,2.0,3,3,1.0,13660
1,1,0,0,12.84,12.84,12.84,1,1,1.0,13663
2,2,1,1,9.14,9.14,17.33,2,2,1.0,13674
1,1,0,0,1.21,1.21,1.21,1,1,1.0,13696
10,4,3,3,1.67,0.15,8.68,2,2,0.4,13703
5,5,3,2,7.08,1.0,27.29,2,2,1.0,13705
8,6,5,4,1.94,0.72,9.46,3,3,0.75,13708
2,2,1,0,3.13,3.13,5.59,1,1,1.0,13756
1,1,0,0,16.33,16.33,16.33,1,1,1.0,13779
3,3,1,1,4.57,4.0,8.19,2,2,1.0,13801
2,2,1,1,1.99,1.99,2.99,2,2,1.0,13826
1,1,0,0,18.92,18.92,18.92,1,1,1.0,13831
2,2,1,1,8.84,8.84,15.46,2,2,1.0,13838
1,1,0,0,2.99,2.99,2.99,1,1,1.0,13863
2,2,1,0,0.87,0.87,1.37,1,1,1.0,13876
2,2,1,1,9.31,9.31,15.37,2,2,1.0,13879
1,1,0,0,1.96,1.96,1.96,1,1,1.0,13895
4,3,3,3,6.23,5.28,14.36,3,3,0.75,13897
9,4,4,6,2.14,0.13,8.11,3,2,0.444,13922
2,2,1,1,2.2,2.2,2.58,2,2,1.0,13929
3,3,2,1,4.37,1.91,9.37,2,2,1.0,13956
2,1,1,0,8.98,8.98,17.96,1,1,0.5,13964
9,6,7,1,2.44,1.0,11.71,2,2,0.667,13971
2,2,1,1,6.67,6.67,10.46,2,2,1.0,13994
3,2,2,1,4.18,2.22,10.12,2,2,0.667,14004
4,4,2,1,3.68,1.5,10.79,2,2,1.0,14022
1,1,0,0,3.93,3.93,3.93,1,1,1.0,14060
5,5,2,1,3.39,2.49,9.54,2,2,1.0,14080
5,3,4,0,2.19,0.99,5.37,1,1,0.6,14089
3,2,2,0,6.44,1.71,17.6,1,1,0.667,14090
8,4,4,3,2.68,1.96,7.42,2,2,0.5,14091
2,2,0,1,1.77,1.77,2.72,2,2,1.0,14093
1,1,0,0,9.87,9.87,9.87,1,1,1.0,14097
2,2,1,0,4.96,4.96,6.46,1,1,1.0,14113
4,4,3,3,4.04,2.19,10.79,3,3,1.0,14116
2,0,1,0,0.22,0.22,0.24,1,0,0.0,14147
