K,ARI_PROMEDIO,ARI_MIN
4,0.9988294070060674,0.9980490174916542
5,0.9988010583891536,0.9973726055439271
6,0.9661931311211053,0.9421523221524639
7,0.970071103550568,0.9407899484369262
8,0.913967273207889,0.8688777948646528
10,0.741372034129575,0.5828314468661404
11,0.7066172887682087,0.5603516453486816
12,0.6813826301740435,0.531225663198509
13,0.6822309591655235,0.46012986913818393
