GRUPO_PRINCIPAL,MODELO,K,N_PERSONAS,N_FEATURES,SILHOUETTE,DAVIES_BOULDIN,ARI_ESTABILIDAD_SEMILLAS,RANDOM_STATE,N_INIT
ADMINISTRATIVO,KMeans,4,1304,102,0.1456386152277965,2.28353300245157,0.9846731478924479,42,10
DOCENTE,KMeans,5,1886,102,0.1121760741951402,2.3903634812628773,0.9715697695111898,42,10
