K,MIN_CLUSTER_SIZE,MAX_CLUSTER_SIZE
4,141,277
5,82,218
6,65,237
7,71,168
8,32,205
9,47,178
10,28,186
11,32,145
12,21,111
13,6,112
14,8,137
15,17,111
