IDPERSONA,RAMA,PC1,PC2
654445,ADMINISTRATIVO,-5.818838943565259,0.8388872627353092
266,ADMINISTRATIVO,1.9333461655058797,2.6455335755583724
5821,ADMINISTRATIVO,-4.110753049771762,3.434383806731146
215,ADMINISTRATIVO,0.4058115327749408,7.094513252982396
3678,ADMINISTRATIVO,-0.17286480777181618,0.35646677955454725
648616,ADMINISTRATIVO,0.8939173269244653,2.675062248060973
3680,ADMINISTRATIVO,1.003822836172919,6.956955478856511
692,ADMINISTRATIVO,1.1296579016702082,6.531022566892667
39,ADMINISTRATIVO,-4.481057037157043,2.1500470325137937
6811,ADMINISTRATIVO,3.181238873458368,2.152677283065834
216,ADMINISTRATIVO,-1.844632269857215,5.126436000154571
13351,ADMINISTRATIVO,-1.0739985221031036,3.193469175119847
69235,ADMINISTRATIVO,0.5415365686099597,2.3343370346904706
97455,ADMINISTRATIVO,-1.5060013169856752,-0.2780690956181589
858,ADMINISTRATIVO,1.2694614848920367,4.235986824889802
653814,ADMINISTRATIVO,-1.2091206137167323,1.0095934808969318
95473,ADMINISTRATIVO,1.273191605325128,1.6175270493050435
787,ADMINISTRATIVO,4.871321681404253,4.24620626377392
769,ADMINISTRATIVO,3.9022980051180403,3.0749859789450973
771,ADMINISTRATIVO,-2.838270371975365,1.5737590444178038
813,ADMINISTRATIVO,1.4858382540253907,4.617184372390334
831,ADMINISTRATIVO,1.1907459074700821,4.70215415033766
87496,ADMINISTRATIVO,-5.150060165198028,1.1848947059341892
883,ADMINISTRATIVO,1.0505170774620969,5.37899423462265
862,ADMINISTRATIVO,1.7279731406288814,3.9780855333387932
815,ADMINISTRATIVO,0.44453657948201925,1.3915398215609416
733,ADMINISTRATIVO,2.6918722333033718,4.0376193589734
61594,ADMINISTRATIVO,3.4182314469365065,1.9898261158494668
869,ADMINISTRATIVO,1.5598839968995868,3.9801790047107817
866,ADMINISTRATIVO,1.5527215914247265,3.809056806409282
946,ADMINISTRATIVO,0.9439159526750366,5.204109720544867
647015,ADMINISTRATIVO,-2.235616628727008,2.0149881274646977
878,ADMINISTRATIVO,1.1382611311609336,4.264412192393822
840,ADMINISTRATIVO,3.2138093826574554,2.9918140742025847
865,ADMINISTRATIVO,3.9458418329954257,4.1116364923534485
1116,ADMINISTRATIVO,0.30783327435431446,4.9138062942839476
891,ADMINISTRATIVO,1.7397008850007816,4.6274108691328175
1000,ADMINISTRATIVO,2.950719156275322,3.1996878820762156
903,ADMINISTRATIVO,1.5892514032673464,2.5368490280466194
978,ADMINISTRATIVO,1.0561436338456045,4.184288296724968
944,ADMINISTRATIVO,3.43603890561432,1.8668995892702913
893,ADMINISTRATIVO,-0.16863655535053962,4.937558698629661
939,ADMINISTRATIVO,1.5116596494418002,4.172579592650451
1032,ADMINISTRATIVO,0.4215869146298589,3.5402578587260085
969,ADMINISTRATIVO,3.7908606257150437,3.6312879715273487
953,ADMINISTRATIVO,0.5825741946006142,5.267595635687402
7197,ADMINISTRATIVO,-1.5877852145464983,2.1721674822355896
653827,ADMINISTRATIVO,-1.9864475831479758,1.8650862594207387
3467,ADMINISTRATIVO,2.556238320973388,1.4309416041450356
975,ADMINISTRATIVO,5.958009519475846,2.9136037037646134
13663,ADMINISTRATIVO,-0.349699552470446,1.828828420224473
651451,ADMINISTRATIVO,-5.152632646332501,1.6630166164547693
3771,ADMINISTRATIVO,0.04604211291664235,2.256602139048702
919,ADMINISTRATIVO,2.608670683454323,4.164036275022117
69247,ADMINISTRATIVO,0.2788988260567035,2.198667961000874
102363,ADMINISTRATIVO,-5.559069748674262,1.6071137090043799
972,ADMINISTRATIVO,3.577652184191097,1.4963023749714925
938,ADMINISTRATIVO,0.7490932430805646,4.990877695380399
3465,ADMINISTRATIVO,1.0806653074214478,2.7648273331545763
1033,ADMINISTRATIVO,1.632518478770764,3.444785596766937
19999,ADMINISTRATIVO,0.5876350578581474,-0.16676891360205384
656039,ADMINISTRATIVO,-5.1230254070811,-0.5941959305581209
1061,ADMINISTRATIVO,2.4002828233491096,4.871516717949276
1038,ADMINISTRATIVO,3.066360176184081,6.957371105148628
97773,ADMINISTRATIVO,2.684878337736132,-0.9869915926209585
11865,ADMINISTRATIVO,3.2091049185677876,2.74868514234936
1268,ADMINISTRATIVO,2.327299155461545,2.7081525540187736
1123,ADMINISTRATIVO,2.182646625707163,5.053342056654653
