IDPERSONA,RAMA,PC1,PC2
39,ADMINISTRATIVO,-0.08340399712324142,0.028345812112092972
215,ADMINISTRATIVO,0.034178897738456726,0.11953623592853546
216,ADMINISTRATIVO,-0.1312181055545807,-0.0491807647049427
229,ADMINISTRATIVO,0.08576179295778275,-0.07956256717443466
231,ADMINISTRATIVO,0.15201997756958008,0.052388355135917664
266,ADMINISTRATIVO,-0.054847024381160736,0.1390976905822754
692,ADMINISTRATIVO,0.0781443640589714,0.11424735188484192
733,ADMINISTRATIVO,0.14688412845134735,-0.01747710257768631
769,ADMINISTRATIVO,-0.03530202433466911,0.12147145718336105
771,ADMINISTRATIVO,-0.09740561246871948,0.08044055849313736
787,ADMINISTRATIVO,-0.00898644607514143,0.1281997114419937
813,ADMINISTRATIVO,0.04614175483584404,0.09847571700811386
815,ADMINISTRATIVO,-0.004187994170933962,-0.09579581022262573
831,ADMINISTRATIVO,-0.00540272518992424,0.054505567997694016
840,ADMINISTRATIVO,0.08102598041296005,0.04204769805073738
858,ADMINISTRATIVO,-0.11886120587587357,-0.1095874160528183
862,ADMINISTRATIVO,0.07058005034923553,-0.09437575191259384
865,ADMINISTRATIVO,0.0011507817544043064,0.13948342204093933
866,ADMINISTRATIVO,0.0037318558897823095,-0.12113199383020401
869,ADMINISTRATIVO,-0.052466388791799545,0.07801231741905212
878,ADMINISTRATIVO,0.11446058005094528,-0.08992858231067657
883,ADMINISTRATIVO,-0.0005955384112894535,-0.13650070130825043
891,ADMINISTRATIVO,0.09641239792108536,0.05570575222373009
893,ADMINISTRATIVO,-0.15955862402915955,-0.03662489727139473
903,ADMINISTRATIVO,0.05922258645296097,-0.14529533684253693
919,ADMINISTRATIVO,0.1644178330898285,-0.08749208599328995
938,ADMINISTRATIVO,0.042920324951410294,-0.040270138531923294
939,ADMINISTRATIVO,-0.0834033265709877,-0.06670648604631424
944,ADMINISTRATIVO,0.10850396007299423,-0.004441268276423216
946,ADMINISTRATIVO,0.07929172366857529,-0.015719274058938026
953,ADMINISTRATIVO,-0.04885634407401085,-0.025929449126124382
958,ADMINISTRATIVO,0.014316342771053314,0.16194821894168854
969,ADMINISTRATIVO,-0.06568926572799683,0.10001665353775024
972,ADMINISTRATIVO,0.07704468816518784,-0.05895388498902321
975,ADMINISTRATIVO,0.0538761205971241,-0.009705585427582264
978,ADMINISTRATIVO,-0.1032264307141304,-0.121876060962677
990,ADMINISTRATIVO,0.08376850932836533,-0.03738810494542122
1000,ADMINISTRATIVO,-0.03987346962094307,-0.08676190674304962
1032,ADMINISTRATIVO,0.07295152544975281,-0.01738414727151394
1033,ADMINISTRATIVO,0.013471957296133041,-0.05523976311087608
1038,ADMINISTRATIVO,0.03541604429483414,0.05897998809814453
1061,ADMINISTRATIVO,0.11425573378801346,-0.007972266525030136
1116,ADMINISTRATIVO,-0.10485311597585678,-0.040334295481443405
1123,ADMINISTRATIVO,0.061444807797670364,-0.07479675114154816
1140,ADMINISTRATIVO,0.15854507684707642,-0.04215561971068382
1168,ADMINISTRATIVO,0.10285773873329163,-0.07146374136209488
1180,ADMINISTRATIVO,0.1424151062965393,-0.051933299750089645
1205,ADMINISTRATIVO,0.15267537534236908,0.02233380451798439
1206,ADMINISTRATIVO,-0.0300761591643095,0.15440954267978668
1225,ADMINISTRATIVO,-0.041285719722509384,-0.08705722540616989
1229,ADMINISTRATIVO,-0.041621509939432144,-0.07228336483240128
1247,ADMINISTRATIVO,-0.03083626739680767,0.05316917598247528
1255,ADMINISTRATIVO,0.05442729592323303,-0.08628928661346436
1268,ADMINISTRATIVO,0.1203254908323288,-0.08051909506320953
1278,ADMINISTRATIVO,0.18859004974365234,-0.032831642776727676
1322,ADMINISTRATIVO,0.13159124553203583,0.029421217739582062
1354,ADMINISTRATIVO,0.11362174153327942,-0.037415552884340286
1372,ADMINISTRATIVO,-0.013338115066289902,-0.03593362867832184
1375,ADMINISTRATIVO,-0.06621971726417542,0.1199289932847023
1385,ADMINISTRATIVO,0.008051137439906597,-0.010590821504592896
1402,ADMINISTRATIVO,0.012979226186871529,-0.03095237724483013
1457,ADMINISTRATIVO,0.055175576359033585,0.06513257324695587
1476,ADMINISTRATIVO,0.05850653350353241,-0.03215501084923744
1478,ADMINISTRATIVO,0.13020887970924377,0.05321585386991501
1485,ADMINISTRATIVO,0.06238424777984619,-0.15287275612354279
1496,ADMINISTRATIVO,0.09375681728124619,0.07969420403242111
1530,ADMINISTRATIVO,0.05604178085923195,-0.10099738836288452
1534,ADMINISTRATIVO,0.11779949814081192,-0.08089379966259003
1546,ADMINISTRATIVO,0.08749988675117493,0.05437619611620903
1554,ADMINISTRATIVO,-0.021188953891396523,-0.1356886774301529
1555,ADMINISTRATIVO,0.07070135325193405,-0.029566997662186623
1598,ADMINISTRATIVO,0.0418875552713871,-0.016189439222216606
1616,ADMINISTRATIVO,0.06453258544206619,-0.10877509415149689
1628,ADMINISTRATIVO,0.03337739780545235,-0.02892936021089554
1644,ADMINISTRATIVO,0.027477767318487167,-0.13550032675266266
1660,ADMINISTRATIVO,0.08829288184642792,0.13253259658813477
1676,ADMINISTRATIVO,0.14165543019771576,-0.038414135575294495
1787,ADMINISTRATIVO,0.1797856092453003,-0.01461989525705576
1790,ADMINISTRATIVO,0.11948491632938385,-0.02557692863047123
1794,ADMINISTRATIVO,0.10348299890756607,-0.031223803758621216
1842,ADMINISTRATIVO,-0.011082468554377556,0.02548973821103573
1878,ADMINISTRATIVO,0.10905696451663971,0.08912896364927292
1890,ADMINISTRATIVO,0.006424064747989178,-0.09912517666816711
1991,ADMINISTRATIVO,0.059298012405633926,0.0889805257320404
2008,ADMINISTRATIVO,-0.04372119531035423,0.1398770660161972
2022,ADMINISTRATIVO,0.10037767142057419,-0.07693090289831161
2031,ADMINISTRATIVO,0.1050967127084732,0.09944663196802139
2045,ADMINISTRATIVO,-0.01710755191743374,-0.07351715117692947
2049,ADMINISTRATIVO,0.10237302631139755,0.030494268983602524
2058,ADMINISTRATIVO,0.12061658501625061,0.09207617491483688
2105,ADMINISTRATIVO,-0.018870525062084198,-0.02830658294260502
2146,ADMINISTRATIVO,0.17466628551483154,0.0031630811281502247
2237,ADMINISTRATIVO,0.07107201218605042,-0.013736240565776825
2297,ADMINISTRATIVO,-0.045846033841371536,-0.0860731303691864
2299,ADMINISTRATIVO,0.12804071605205536,0.1383410394191742
2350,ADMINISTRATIVO,0.014729107730090618,-0.012851855717599392
2370,ADMINISTRATIVO,0.15293297171592712,-0.04460877552628517
2378,ADMINISTRATIVO,0.0890137329697609,-0.04606885462999344
