K,SILHOUETTE,CALINSKI_HARABASZ,DAVIES_BOULDIN,MIN_CLUSTER_SIZE,MAX_CLUSTER_SIZE
2,0.13293017029510423,129.62271327499911,2.224013473116049,301,498
3,0.14197273103311597,102.85239164128043,2.3161982095293285,84,435
4,0.11653913447436001,89.65212155846719,2.415493726852174,77,244
5,0.1287940560908076,85.58149873040341,2.1311030707560517,38,255
6,0.11043613729864973,79.00370702061112,2.1797943618895275,37,235
7,0.1195461947390851,73.7554319913407,2.1216146199284602,34,228
8,0.10412119069926778,68.6217493357993,2.1487911401982625,36,168
9,0.0954908913569199,63.708093731852124,2.2516365925534334,34,187
