K,SILHOUETTE,CALINSKI_HARABASZ,DAVIES_BOULDIN,MIN_CLUSTER_SIZE,MAX_CLUSTER_SIZE
2,0.24785582110842933,522.3872762583741,1.743946261613854,649,1028
3,0.18306423207134306,372.6590390102631,2.102852097000515,301,820
4,0.1253078427484601,294.4944637563782,2.4096612370688018,261,600
5,0.12031225758982066,243.50858251453423,2.4705497673317995,176,572
6,0.10659389163101676,213.36034278983615,2.384630231577591,172,450
7,0.10979803165531726,192.16908979093142,2.2691376289877216,95,434
8,0.10947757811624037,174.9213120078566,2.380440127867937,87,401
9,0.11295533707750177,164.76853038725145,2.276540292983164,15,398
