IDPERSONA,N_TRAMOS_ROL,N_CATEGORIAS_ROL_DISTINTAS,CATEGORIA_CARGO_ACTUAL,TIPOEMPLEADO_CATEGORIA_ACTUAL,CARGO_ACTUAL_ESTRUCTURAL,UNIDAD_ACTUAL_ESTRUCTURAL,VIGENTE_TRAMO_ESTRUCTURAL,ANIOS_EN_CATEGORIA_ACTUAL,CATEGORIA_CARGO_PRIMERA,ES_TRAYECTORIA_ESTABLE,ES_MIXTO,CARGOS_ACTUALES_MIXTO,CATEGORIAS_ACTUALES_MIXTO,DURACION_MEDIANA_TRAMO_ANIOS,TURBULENCIA_TRAMOS,ENTROPIA_CATEGORIA_CARGO,PROPORCION_ANIOS_ADMINISTRATIVO,N_TRANSICIONES_ROL,N_TRANSICIONES_AA_A_DD,N_TRANSICIONES_DD_A_AA,TUVO_TRANSICION_AA_A_DD,TUVO_TRANSICION_DD_A_AA,ANIOS_DESDE_ULTIMA_TRANSICION,N_ROLES_ADICIONALES_SIMULTANEOS_DISTINTOS,CATEGORIA_ROL_ADICIONAL_MAS_RECIENTE,TUVO_ROL_ADICIONAL_SIMULTANEO,ANIOS_EN_UNIDAD_ACTUAL,TUVO_FUNCION_ADICIONAL,N_FUNCIONES_ADICIONALES,N_CATEGORIAS_FUNCION_ADICIONAL_DISTINTAS,TUVO_SUBROGACION,N_SUBROGACIONES,TUVO_FUNCION_NO_COINCIDENTE_CON_CONTRATO,CATEGORIA_FUNCION_ADICIONAL_MAS_RECIENTE,CARGO_PUNTUAL_VIGENTE,UNIDAD_PUNTUAL_VIGENTE,CATEGORIA_PUNTUAL_VIGENTE,TIPOEMPLEADO_PUNTUAL_VIGENTE
14178,4,3,PROFESIONAL_ANALISTA,ADMINISTRATIVO,ANALISTA DE LABORATORIO DE INVESTIGACIÓN 2,CENTRO DE INVESTIGACIONES BIOTECNOLÓGICAS DEL ECUADOR,True,10.79,AUXILIAR_AYUDANTE_OPERATIVO,False,False,,,1.12,1.42,0.6575,1.0,2,0,0,False,False,10.79,0,,False,9.87,False,0,0,False,0,False,,,,,
14179,1,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,True,6.56,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,6.56,,-0.0,0.0,0,0,0,False,False,,0,,False,6.56,False,0,0,False,0,False,,,,,
14185,2,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA,True,11.38,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,5.79,1.37,-0.0,0.0,0,0,0,False,False,,0,,False,8.7,True,6,1,False,0,True,JEFATURA_SUPERVISION_OPERATIVA,,,,
14216,2,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,True,4.95,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,3.22,0.76,-0.0,0.0,0,0,0,False,False,,0,,False,4.95,True,1,1,False,0,True,JEFATURA_SUPERVISION_OPERATIVA,PRESTACIÓN SERVICIOS PROFESIONALES,DESCONOCIDA,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,DOCENTE
14227,1,1,TECNICO_OPERATIVO_MANTENIMIENTO,ADMINISTRATIVO,TÈCNICO DE OPERACIÒN Y MANTENIMIENTO DE MAQUINARIA Y/O EQUIPOS/TÈCNICO DE OPERACIONES,AJÁ PARQUE DE LA CIENCIA,True,11.96,TECNICO_OPERATIVO_MANTENIMIENTO,True,False,,,11.96,,-0.0,1.0,0,0,0,False,False,,0,,False,3.35,False,0,0,False,0,False,,,,,
14258,2,2,ASISTENCIA_SECRETARIAL_OFICINA,ADMINISTRATIVO,ASISTENTE FINANCIERO,DECANATO DE VINCULACIÓN,True,11.7,AUXILIAR_AYUDANTE_OPERATIVO,False,False,,,6.25,1.24,0.236,1.0,1,0,0,False,False,11.7,0,,False,4.62,False,0,0,False,0,False,,,,,
14261,2,2,DOCENTE_TITULAR_CARRERA,DOCENTE,PROFESOR TITULAR AUXILIAR 1 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,True,5.12,DOCENTE_NO_TITULAR_OCASIONAL,False,False,,,4.98,0.04,0.6927,0.0,1,0,0,False,False,5.12,0,,False,9.7,True,2,1,False,0,True,JEFATURA_SUPERVISION_OPERATIVA,,,,
14264,5,4,PROFESIONAL_ANALISTA,ADMINISTRATIVO,ANALISTA DE INFRAESTRUCTURA INFORMÁTICA 2,CENTRO DE INFORMACIÓN BIBLIOTECARIA,True,10.37,OTROS_AA,False,False,,,2.51,1.01,1.0374,1.0,3,0,0,False,False,10.37,1,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,True,10.37,True,1,1,True,1,True,OTROS_AA,,,,
14309,2,1,TECNICO_DOCENTE_APOYO,DOCENTE,TÉCNICO DOCENTE 4 (MT),DIRECCIÓN DE ADMISIONES,False,0.13,TECNICO_DOCENTE_APOYO,True,False,,,0.2,0.51,-0.0,0.0,0,0,0,False,False,,0,,False,0.13,False,0,0,False,0,False,,,,,
14321,1,1,TECNICO_DOCENTE_APOYO,DOCENTE,TÉCNICO DE INVESTIGACIÓN 1 (MT),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,False,0.19,TECNICO_DOCENTE_APOYO,True,False,,,0.19,,-0.0,0.0,0,0,0,False,False,,0,,False,0.19,False,0,0,False,0,False,,,,,
