IDPERSONA,IDESTRUCTURAORGANICA,UNIDAD_FUNCION,FUNCION_ADICIONAL,CATEGORIA_FUNCION_ADICIONAL,ES_SUBROGACION,ROL_SUBROGADO,CATEGORIA_ROL_SUBROGADO,NIVEL_FUNCION,DETALLE_NIVEL_FUNCION,FECHA_DESDE,FECHA_HASTA,DURACION_DIAS,ES_REPRESENTANTE_ESTUDIANTIL,ES_RUIDO_CALIDAD_DATOS,ES_DUPLICADO_EXACTO,ES_RUIDO_FUERA_DE_POBLACION,TIPOEMPLEADO_CONTRATO_DURANTE,CATEGORIA_CARGO_CONTRATO_DURANTE,ES_COINCIDENTE_CONTRATO
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2022-05-30,2022-06-03,4,False,False,False,False,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2022-07-04,2022-07-12,8,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2022-08-03,2022-08-06,3,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Miembro del consejo politécnico,OTROS_AA,False,,,,,2022-09-01,2025-08-31,1095,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Coordinador de programa de postgrado,JEFATURA_SUPERVISION_OPERATIVA,False,,,POSGRADO,Doctorado en Ingeniería,2023-09-26,2027-11-01,1497,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Decano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2025-02-17,2025-03-05,16,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2025-04-12,2025-04-14,2,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2025-04-26,2025-05-01,5,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2025-06-25,2025-07-01,6,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2025-10-02,2025-10-24,22,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2025-11-25,2025-11-27,2,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2026-01-27,2026-01-30,3,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2026-02-12,2026-02-13,1,False,False,False,False,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2026-03-02,2026-03-03,1,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
26,54,GERENCIA ADMINISTRATIVA,Subrogación,OTROS_AA,True,Gerente,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,,,2026-03-23,2026-04-02,10,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,False
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2026-03-23,2026-04-02,10,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2026-04-13,2026-04-17,4,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2026-05-16,2026-05-21,5,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2026-06-03,2026-06-09,6,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
26,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2026-08-24,2026-09-03,10,False,False,False,False,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False
