IDPERSONA,TIPOEMPLEADO_DESC,CATEGORIA_CARGO,TRAMO_INICIO,TRAMO_FIN,N_CONTRATOS,CARGO_TRAMO,UNIDAD_TRAMO
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2009-10-12,2010-03-02,2,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2012-05-14,2013-05-13,1,PROFESOR PREGRADO,DESCONOCIDA
94,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2014-10-01,,35,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS
96,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,1999-06-01,2000-05-30,1,COORDINADOR PRINCIPAL,DESCONOCIDA
96,ADMINISTRATIVO,PROFESIONAL_ANALISTA,2000-06-01,2001-05-30,1,INVESTIGADOR Y COORDINADOR ADMINISTRATIVO,DESCONOCIDA
96,DOCENTE,DOCENTE_TITULAR_CARRERA,2002-05-20,2002-09-27,1,PROFESOR PREGRADO,DESCONOCIDA
96,DOCENTE,DOCENTE_TITULAR_CARRERA,2002-10-21,2003-03-07,1,PROFESOR PREGRADO,DESCONOCIDA
96,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,2004-02-01,2004-10-31,1,COORDINACION GENERAL DEL PROYECTO,DESCONOCIDA
96,DOCENTE,DOCENTE_TITULAR_CARRERA,2005-10-17,2014-02-28,8,PROFESOR TITULAR PRINCIPAL (TC),VICERRECTORADO ACADÉMICO
96,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2014-03-01,2015-06-04,2,DECANO(A),DECANATO DE POSGRADO
96,DOCENTE,DOCENTE_TITULAR_CARRERA,2015-06-05,,25,PROFESOR TITULAR PRINCIPAL 2 (TC),FACULTAD DE CIENCIAS DE LA VIDA
102,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2022-05-18,2022-09-23,1,PROFESOR NO TITULAR OCASIONAL (TP),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
102,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2022-10-03,2023-02-17,3,PROFESOR NO TITULAR OCASIONAL (TP),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,1997-05-26,1997-10-03,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,1997-10-20,1999-03-02,3,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2000-10-10,2001-02-23,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2001-05-21,2001-09-28,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2001-10-22,2002-03-02,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2002-05-20,2002-09-27,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2002-10-21,2003-03-07,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2003-05-19,2003-09-27,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2003-10-20,2004-03-08,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2004-05-17,2004-09-25,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2004-10-18,2005-03-08,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2005-05-16,2005-09-24,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2005-10-17,2006-03-03,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2006-05-15,2006-09-23,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2006-10-17,2007-03-06,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2007-05-14,2007-09-22,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2008-05-19,2008-09-26,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2008-10-13,2009-03-02,1,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2009-05-18,2013-05-12,5,PROFESOR PREGRADO,DESCONOCIDA
129,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2014-10-01,2025-05-15,24,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS
130,DOCENTE,DOCENTE_TITULAR_CARRERA,1986-05-15,1986-08-14,1,PROFESOR,DESCONOCIDA
130,DOCENTE,DOCENTE_TITULAR_CARRERA,1988-02-17,1988-05-17,1,PROFESOR,DESCONOCIDA
130,DOCENTE,DOCENTE_TITULAR_CARRERA,1989-02-20,1989-05-19,1,PROFESOR,DESCONOCIDA
130,DOCENTE,DOCENTE_TITULAR_CARRERA,1995-01-01,,22,PROFESOR TITULAR AGREGADO 1 (TC),FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN
132,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,1990-06-04,1990-10-06,1,PROFESOR PREGRADO,DESCONOCIDA
132,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,1990-10-22,1991-03-01,2,PROFESOR PREGRADO,DESCONOCIDA
132,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,1991-06-10,1991-10-19,1,PROFESOR PREGRADO,DESCONOCIDA
132,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2004-05-17,2004-09-25,1,PROFESOR PREGRADO,DESCONOCIDA
132,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2004-10-18,2005-03-08,1,PROFESOR PREGRADO,DESCONOCIDA
132,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2005-05-16,2005-09-24,1,PROFESOR PREGRADO,DESCONOCIDA
132,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2005-10-17,2006-03-03,1,PROFESOR PREGRADO,DESCONOCIDA
132,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2006-05-15,2006-09-23,1,PROFESOR PREGRADO,DESCONOCIDA
132,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2006-10-17,2007-03-06,1,PROFESOR PREGRADO,DESCONOCIDA
132,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2007-03-12,2007-05-09,1,PROFESOR PREGRADO,DESCONOCIDA
132,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2007-05-14,2007-09-22,2,PROFESOR PREGRADO,DESCONOCIDA
132,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2007-10-15,2008-03-05,2,PROFESOR PREGRADO,DESCONOCIDA
132,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2008-05-19,2008-09-26,1,PROFESOR PREGRADO,DESCONOCIDA
132,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2014-10-01,2020-02-21,7,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS
135,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2001-10-22,2002-03-02,2,PROFESOR PREGRADO,DESCONOCIDA
135,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2002-03-11,2002-05-03,1,PROFESOR PREGRADO,DESCONOCIDA
135,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2002-05-20,2002-09-27,2,PROFESOR PREGRADO,DESCONOCIDA
135,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2002-10-21,2003-03-07,2,PROFESOR PREGRADO,DESCONOCIDA
135,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2003-03-10,2003-05-03,1,PROFESOR PREGRADO,DESCONOCIDA
135,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2003-05-19,2003-09-27,2,PROFESOR PREGRADO,DESCONOCIDA
135,ADMINISTRATIVO,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,2003-10-20,2004-03-08,1,DIRECTOR DE 4 PROYECTOS DE LA SEXTA PROMOCIÓN DE INGENIEROS,DESCONOCIDA
135,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2004-03-09,2004-05-08,1,PROFESOR PREGRADO,DESCONOCIDA
