IDPERSONA,CARGO,UNIDAD,INICIO,FIN,DURACION_ANIOS,ES_SIGNIFICATIVO,ES_PARALELO
90,PROFESOR NO TITULAR OCASIONAL 1 (TP),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2016-10-10,2017-03-17,0.43,True,True
94,PROFESOR PREGRADO,DESCONOCIDA,1994-12-12,1995-03-03,0.22,False,False
94,PROFESOR PREGRADO,DESCONOCIDA,1999-10-19,2010-03-02,10.37,True,False
94,PROFESOR PREGRADO,DESCONOCIDA,2012-05-14,2013-05-13,1.0,True,False
94,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,2014-10-01,,11.96,True,False
96,PROFESOR PREGRADO,DESCONOCIDA,1999-05-25,2000-09-22,1.33,True,True
96,COORDINADOR PRINCIPAL,DESCONOCIDA,1999-06-01,2000-05-30,1.0,True,True
96,INVESTIGADOR Y COORDINADOR ADMINISTRATIVO,DESCONOCIDA,2000-06-01,2001-05-30,0.99,True,True
96,PROFESOR PREGRADO,DESCONOCIDA,2001-05-21,2001-09-28,0.36,True,True
96,PROFESOR PREGRADO,DESCONOCIDA,2002-05-20,2003-03-07,0.8,True,True
96,DIRECTOR DE TRIBUNA L DE TESIS,DESCONOCIDA,2002-09-01,2002-09-30,0.08,False,True
96,PROFESOR PREGRADO,DESCONOCIDA,2003-10-20,2005-03-08,1.38,True,True
96,COORDINACION GENERAL DEL PROYECTO,DESCONOCIDA,2004-02-01,2004-10-31,0.75,True,True
96,PROFESOR TITULAR PRINCIPAL (TC),VICERRECTORADO ACADÉMICO,2005-10-17,2014-02-28,8.37,True,False
96,DECANO(A),DECANATO DE POSGRADO,2014-03-01,2015-06-04,1.26,True,True
96,PROFESOR TITULAR PRINCIPAL 1 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2014-11-01,2014-11-01,0.0,False,True
96,PROFESOR TITULAR PRINCIPAL 2 (TC),FACULTAD DE CIENCIAS DE LA VIDA,2015-06-05,,11.28,True,True
96,DECANO(A),DESCONOCIDA,2015-11-20,2016-03-18,0.33,True,True
96,SUBDECANO(A),DESCONOCIDA,2016-01-04,2016-01-14,0.03,False,True
96,DECANO(A),DESCONOCIDA,2016-10-10,2016-10-14,0.01,False,True
96,RECTOR,RECTORADO,2017-11-13,2022-11-12,5.0,True,True
102,PROFESOR NO TITULAR OCASIONAL (TP),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2022-05-18,2023-02-17,0.75,True,False
129,COORDINADOR DEL ÁREA DE MAESTRÍA,DESCONOCIDA,1997-02-01,1998-01-30,0.99,True,True
129,PROFESOR PREGRADO,DESCONOCIDA,1997-05-26,1999-03-02,1.77,True,True
129,PROFESOR PREGRADO,DESCONOCIDA,2000-10-10,2007-09-22,6.95,True,False
129,PROFESOR PREGRADO,DESCONOCIDA,2008-05-19,2013-05-12,4.98,True,False
129,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,2014-10-01,2025-05-15,10.62,True,False
130,PROFESOR,DESCONOCIDA,1986-05-15,1986-08-14,0.25,False,False
130,PROFESOR,DESCONOCIDA,1988-02-17,1988-05-17,0.25,False,False
130,PROFESOR,DESCONOCIDA,1989-02-20,1989-05-19,0.24,False,False
130,PROFESOR ACCIDENTAL,DESCONOCIDA,1994-10-01,1995-01-10,0.28,True,True
130,PROFESOR TITULAR AGREGADO 1 (TC),FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,1995-01-01,,31.7,True,True
132,PROFESOR PREGRADO,DESCONOCIDA,1990-06-04,1991-03-01,0.74,True,False
132,PROFESOR PREGRADO,DESCONOCIDA,1991-06-10,1991-10-19,0.36,True,False
132,PROFESOR PREGRADO,DESCONOCIDA,2004-05-17,2008-09-26,4.36,True,False
132,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,2014-10-01,2020-02-21,5.39,True,False
135,PROFESOR PREGRADO,DESCONOCIDA,2001-10-22,2010-05-17,8.57,True,True
135,DIRECTOR DE 4 PROYECTOS DE LA SEXTA PROMOCIÓN DE INGENIEROS,DESCONOCIDA,2003-10-20,2004-03-08,0.38,True,True
135,DIRECTOR DE 2 TESIS Y CODIRECTOR DE 1 TESIS DE GRADO,DESCONOCIDA,2004-05-17,2005-03-08,0.81,True,True
135,DIRECTOR DE 3 TESIS DE GRADO,DESCONOCIDA,2005-10-17,2006-03-03,0.38,True,True
135,PROFESOR NO TITULAR OCASIONAL 1 (TP),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,2013-05-13,2017-03-17,3.84,True,False
135,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,2017-05-15,2020-02-21,2.77,True,False
140,PROFESOR TITULAR AGREGADO (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,2012-06-01,2014-09-22,2.31,True,False
195,PROFESOR PREGRADO,DESCONOCIDA,2004-10-18,2009-09-25,4.94,True,True
195,INVESTIGADOR,DESCONOCIDA,2004-10-29,2005-10-29,1.0,True,True
195,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,2024-04-01,2024-05-07,0.1,False,False
195,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,2025-05-15,,1.34,True,False
215,PROFESOR PREGRADO,DESCONOCIDA,1985-02-11,1985-05-10,0.24,False,False
215,PROFESOR ACCIDENTAL,DESCONOCIDA,1985-10-21,1987-01-21,1.25,True,True
215,PROFESOR,DESCONOCIDA,1986-02-24,1986-05-23,0.24,False,True
215,PROFESOR TITULAR PRINCIPAL (TC),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,1987-01-22,2024-05-01,37.27,True,True
215,COORDINADOR DEL CRECE,DESCONOCIDA,1996-03-04,1996-05-03,0.16,False,True
215,COORDINADOR CRECE,DESCONOCIDA,1997-03-03,1997-05-02,0.16,False,True
215,EJECUCION ACTIVIDADES,DESCONOCIDA,2005-05-20,2005-05-22,0.01,False,True
216,JEFE FINANCIERO,DESCONOCIDA,1987-11-04,1997-01-31,9.24,True,False
216,DIRECTOR FINANCIERO,DESCONOCIDA,1997-04-01,1998-03-30,0.99,True,False
216,JEFE ADMINISTRATIVO FINANCIERO,DESCONOCIDA,1999-01-01,2014-12-31,16.0,True,True
216,ANALISTA ADMINISTRATIVO FINANCIERO DE CENTROS,DESCONOCIDA,2014-12-31,2015-01-01,0.0,False,True
217,PROFESOR PREGRADO,DESCONOCIDA,1982-05-17,1982-10-02,0.38,True,False
217,ASISTENTE DE INVESTIGACIÓN,DESCONOCIDA,1983-07-01,1984-06-30,1.0,True,False
217,ASISTENTE DE INVESTIGACIÓN,DESCONOCIDA,1985-01-01,1985-03-31,0.24,False,False
217,DISEÑO DE EMBARCACIONES,DESCONOCIDA,1987-03-16,1987-05-15,0.16,False,False
217,PROFESOR PREGRADO,DESCONOCIDA,1987-05-18,1987-09-26,0.36,True,False
217,PROFESOR PREGRADO,DESCONOCIDA,1988-05-16,1988-09-24,0.36,True,False
217,PROFESOR PREGRADO,DESCONOCIDA,2003-10-20,2004-03-08,0.38,True,False
217,PROFESOR NO TITULAR OCASIONAL (TC),"FACULTAD DE INGENIERIA MARÍTIMA, CIENCIAS BIOLÓGICAS, OCEÁNICAS Y RECURSOS NATURALES",2017-04-10,2018-02-28,0.89,True,False
217,PROFESOR NO TITULAR OCASIONAL (TP),FACULTAD DE INGENIERÍA MARÍTIMA Y CIENCIAS DEL MAR,2022-06-01,2025-02-14,2.71,True,False
228,ASISTENTE TÉCNICO DE COMPUTADORES,DESCONOCIDA,2002-09-28,2004-05-17,1.63,True,False
228,ASISTENTE TÉCNICO DE SOPORTE,DESCONOCIDA,2008-08-01,2014-06-01,5.83,True,True
228,EJECUCION ACTIVIDADES,DESCONOCIDA,2008-10-13,2009-03-02,0.38,True,True
228,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,2014-05-12,,12.35,True,True
228,TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS,FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,2017-03-28,2017-03-31,0.01,False,True
229,AYUDANTE,DESCONOCIDA,2006-03-01,2014-12-31,8.83,True,False
229,ANALISTA FINANCIERO 1,GERENCIA FINANCIERA,2015-01-01,,11.71,True,False
231,PROFESOR,DESCONOCIDA,2000-10-10,2002-03-02,1.39,True,False
231,PROFESOR,DESCONOCIDA,2002-10-21,2003-03-07,0.38,True,False
231,PROFESOR,DESCONOCIDA,2004-02-01,2004-05-30,0.33,True,False
231,ANALISTA DE DESARROLLO DE SISTEMAS 3,GERENCIA DE TECNOLOGÍAS Y SISTEMAS DE INFORMACIÓN,2016-06-24,,10.23,True,False
244,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,2015-05-01,2020-05-31,5.08,True,False
266,DOCENTE,DESCONOCIDA,2002-05-20,2010-03-02,7.78,True,False
266,DIRECTOR DEL CENTRO DE INVESTIGACIONES Y SERVICIOS EDUCATIVOS,DESCONOCIDA,2014-06-01,2018-02-01,3.67,True,False
274,PROFESOR TITULAR PRINCIPAL 1 (TC),DESCONOCIDA,2013-01-01,2015-08-31,2.66,True,False
274,DECANO(A),FACULTAD DE CIENCIAS DE LA VIDA,2015-09-01,2019-02-11,3.45,True,True
274,PROFESOR TITULAR PRINCIPAL 3 (TC),FACULTAD DE CIENCIAS DE LA VIDA,2018-01-01,2018-01-01,0.0,False,True
274,PROFESOR TITULAR PRINCIPAL 3 (TC),DESCONOCIDA,2019-02-12,2019-02-12,0.0,False,False
315,PROFESOR ACCIDENTAL,DESCONOCIDA,1971-06-30,1971-08-31,0.17,False,False
315,PROFESOR ACCIDENTAL,DESCONOCIDA,1973-11-21,1975-08-05,1.7,True,False
315,PROFESOR AGREGADO,DESCONOCIDA,1975-08-06,1977-08-06,2.0,True,False
315,PROFESOR TITULAR PRINCIPAL (TC),DESCONOCIDA,1979-04-16,2016-11-24,37.61,True,True
315,DIRECCION DEL PROYECTO ESPOL/UNO,DESCONOCIDA,1993-05-03,1994-05-03,1.0,True,True
315,RECTOR,RECTORADO,2014-03-01,2017-11-13,3.7,True,True
315,PROFESOR TITULAR PRINCIPAL (TC),DESCONOCIDA,2017-11-13,2017-12-01,0.05,False,True
398,PROFESOR PREGRADO,DESCONOCIDA,1989-05-08,1989-09-16,0.36,True,False
