IDPERSONA,N_REGISTROS_TEXTO,N_FUENTES_DISTINTAS,LONGITUD_TOTAL_CARACTERES
66304,128.0,3.0,4993.0
50103,38.0,3.0,1368.0
98034,128.0,9.0,12627.0
103262,12.0,2.0,304.0
6241,49.0,7.0,6354.0
13929,6.0,2.0,167.0
55772,8.0,2.0,250.0
51681,48.0,7.0,2941.0
48405,37.0,7.0,3337.0
51414,20.0,3.0,2235.0
51391,46.0,5.0,2120.0
659612,4.0,2.0,269.0
56798,7.0,3.0,477.0
14464,32.0,7.0,2919.0
103264,9.0,2.0,297.0
14261,37.0,7.0,3341.0
56796,76.0,3.0,3475.0
57135,2.0,2.0,23.0
52935,20.0,3.0,875.0
659621,2.0,1.0,150.0
14328,12.0,3.0,557.0
661609,6.0,2.0,156.0
14022,64.0,5.0,5447.0
662259,3.0,2.0,110.0
4300,79.0,7.0,8330.0
574968,40.0,6.0,4659.0
76218,15.0,6.0,1286.0
51163,0.0,0.0,0.0
50796,43.0,2.0,1742.0
654355,57.0,8.0,5147.0
48841,8.0,3.0,309.0
51195,22.0,3.0,2288.0
13994,43.0,5.0,3053.0
649043,27.0,3.0,1453.0
52953,46.0,4.0,3562.0
53860,29.0,5.0,1556.0
662496,115.0,3.0,5697.0
52227,66.0,7.0,6991.0
10864,17.0,2.0,660.0
658678,16.0,4.0,677.0
4231,137.0,7.0,12652.0
649148,65.0,6.0,4198.0
80235,19.0,4.0,945.0
656022,0.0,0.0,0.0
51177,82.0,8.0,10173.0
4901,28.0,5.0,1237.0
54845,21.0,5.0,1121.0
658349,0.0,0.0,0.0
55104,23.0,3.0,1141.0
51159,71.0,8.0,8471.0
663058,17.0,6.0,1345.0
55611,20.0,3.0,798.0
14340,68.0,7.0,5144.0
14080,12.0,2.0,379.0
648710,2.0,2.0,97.0
53007,0.0,0.0,0.0
653506,3.0,2.0,443.0
98936,23.0,4.0,991.0
96391,35.0,3.0,979.0
5607,32.0,6.0,2414.0
654473,1.0,1.0,8.0
78970,24.0,3.0,832.0
54706,19.0,4.0,976.0
53361,18.0,6.0,1762.0
53814,36.0,6.0,2407.0
53020,28.0,3.0,1120.0
54358,20.0,3.0,868.0
17519,63.0,3.0,3137.0
98964,5.0,2.0,160.0
101237,33.0,3.0,1018.0
53888,46.0,7.0,3475.0
647469,59.0,2.0,2714.0
654490,50.0,6.0,2437.0
73830,4.0,3.0,104.0
14258,3.0,1.0,78.0
662177,40.0,3.0,1898.0
5478,2.0,2.0,95.0
658366,9.0,3.0,897.0
14113,80.0,7.0,6577.0
658200,23.0,3.0,916.0
4337,39.0,7.0,3837.0
656023,6.0,3.0,737.0
4635,60.0,6.0,8645.0
638745,4.0,2.0,144.0
52916,4.0,1.0,135.0
52004,33.0,7.0,3391.0
103094,22.0,6.0,1498.0
14627,92.0,6.0,10414.0
12900,54.0,6.0,3233.0
57960,5.0,3.0,178.0
53697,24.0,2.0,972.0
648866,33.0,3.0,1178.0
57381,2.0,1.0,343.0
653708,10.0,3.0,401.0
54701,52.0,7.0,4380.0
55101,27.0,7.0,3019.0
5588,90.0,6.0,5653.0
54603,29.0,4.0,1030.0
52752,30.0,5.0,1617.0
662512,21.0,3.0,911.0
14116,31.0,6.0,2632.0
14613,120.0,5.0,13582.0
645105,1.0,1.0,22.0
